name,permalink,title,customer,role,link,color,background,border,tags,body,problem,stakes,discovery,outcome,considerations
ey-blockchain,ernst-young-global-innovations-enterprise-api-platform,Enterprise API Platform,Ernst & Young Global Innovations 	,Platform Lead,https://blockchain.ey.com/,808080,FFFFFF,FBE74D,"financial, crypto, api design, platform, product strategy","Led international agile team to plan, define & develop EYs enterprise blockchain platform based on a federated microservice architecture on top of Azure cloud.",Augment EY’s consulting business with a family of subscription services from EY Global Innovation.,"As a global services company, EY has many subsidiary businesses with conflicting interests. A new platform has to be available to existing and new applications, based on Azure cloud. ",The legacy system tightly integrated the front end applications to the API platform. The new platform needed to decouple this into a set of microservices around core platform services such as authentication and metering. ,"Successfully launched a robust blockchain API platform, accompanying website, and a full launch and migration plan.",
redbook-solutions,red-book-keep-store-management-platform-apps,Store Management Platform & Apps,Red Book Keep 	,Platform Lead,https://RedbookSolutions.com/,B92739,E2E2E2,77787B,"retail, store management, aws, native apps, web app, full stack, multi-platform, community, analytics, data visualization, api design, platform","Led end-to-end design, development, and delivery of store management SaaS app platform on iOS, Android, Web capturing millions of images from 80,000 locations to the AWS cloud, atop a digital transformation workflow processing 1000s of PDFs  month.",Redbook digital transformation required moving retail users from paper-based solutions to digital offerings.,"Monthly and quarterly print editions had to be synchronized with online offerings, designed to scale to 80,000 locations.","Legacy app’s enterprise-based authentication created many problems in retail settings. A new, simplified onboarding method allowed retail location managers to onboard users quickly.","Designed and delivered a multi-platform app, with a backend running on AWS cloud including large-scale data management and transformation workflows, providing support for millions of Redbook scans to be uploaded by users. ",
#boston-regtech,boston-regtech-fintech-platform-for-regulatory-compliance,Fintech Platform for Regulatory Compliance,Boston Regtech,Product Lead,,3174B5,FFFFFF,,"financial, regulatory, analytics, product strategy","Create an investigation platform for financial institutions to perform smart investigations on behalf of FinCen. Apply analytic, visualization, and machine learning techniques to optimize flow to generate SARs.",Financial institutions lacked a streamlined platform for regulatory compliance and SAR generation.,"Risk of non-compliance, financial penalties, and inefficiencies in investigative processes.","Created a platform integrating analytics, visualization, and machine learning for smart investigations and SAR generation.",Implemented a regulatory compliance tool that improved efficiency and accuracy in generating SARs.,Focused on meeting stringent regulatory standards and protecting sensitive financial data.
#symtrend,trackware-symptom-tracking-platform-app,Symptom Tracking Platform & App,Symtrend,Platform Architect,,2F6492,F0F6F8,EEF2F6,"healthcare, full stack, visualization, platform, native apps, web app, automation",Led team to develop pioneering platform for mobile tracking of patient symptoms.,"Patients struggled to track symptoms effectively, hindering health management and provider communication.",Poor patient engagement and suboptimal health outcomes due to lack of reliable tracking solutions.,Developed a mobile app with user-friendly interfaces and data visualization tools for effective symptom monitoring and sharing with healthcare providers.,Enabled better health management and communication through an innovative symptom tracking app.,Ensured compliance with healthcare data privacy regulations and accessibility for diverse users.
#channelfit,channelfit-fitness-nutrition-platform-apps,Fitness & Nutrition Platform & Apps,Channelfit  	,Product Lead,,1E2F49,BFCCE2,3E6297,"healthcare, visualization, web app, community, automation",Led team to design and develop on-line system to create personalized diet and workout plans.,"Individuals needed personalized, accessible fitness and nutrition plans to meet their health goals.","Failure to meet consumer demand for customizable health and wellness solutions, risking brand relevance.","Built an online system to generate personalized diet and workout plans based on user data, ensuring user engagement and adherence.","Delivered a personalized fitness and nutrition app, improving user satisfaction and outcomes.",Prioritized data privacy and adaptability for varied fitness levels and goals.
,,,,- - - - ,,,,,,,,,,,
verizon-dti,verizon-labs-interactive-circuit-diagnostic-system,Interactive Circuit Diagnostic System,Verizon Labs 	,Platform Architect,https://www.verizon.com/about/our-company/innovation-labs,000000,FFFFFF,D8383C,"telecomm, full stack, api, platform, native apps",Led team to design & develop a unified platform for testing all Verizon Circuits.,"Verizon field technicians used to depend on help from central NOC operators for their diagnostic and maintenance activities. These requests would queue, keeping costly field technicians to idle. ","In order to address the broad set of uses at Verizon, the diagnosis system had to accommodate many circuit types (T1, FFTP, DDS, DSL, POTS, …). All this had to be done within Verizon’s carrier-grade standards of reliability. The native apps had to run in network closets and basements where there would be no wi-fi or cellular access. ","An instant replay mechanism was devised to accommodate at the same time: case review, as well as dealing with network disruptions due to poor or non-existent connection. ","The system was deployed internally to all Verizon field technicians, in some cases reducing idle time by hours. Subsequent versions of the system was shipped to support a wide range of circuit types. ",
baupost,baupost-group-new-investment-warning-system,New Investment Warning System,Baupost Group	,Product Lead,https://www.baupost.com/,22436C,FFFFFF,22436C,"financial, visualization, community, analytics, web apps",Led design & development of a system to track compliance constraints on hedge fund investments.,"Hedge funds often have to wait on specific conditions before they can execute deals. This means research for a deal may proceed the execution by many months. Yet, the deal still has to go through compliance, and meet other constraints. ",Executing deals with invalid compliance constraints may result in major Financial and reputitional risk to the firm.,"To adopt to the evolving regulatory environments and complex investment instruments, constraints on a hedge may vary. This had to be balanced against simplicity of use by a broad class of users: researches, compliance staff, and management.","Implemented a compliance tracking system, protecting the firm from regulatory breaches and enhancing operational transparency.",
christensen-institute,clay-christensen-institute-disruptive-innovation-com,Disruptive Innovation.com,Clay Christensen Institute,Product Lead,https://DisruptiveInnovation.com/,233955,E6EFD0,,"management, research, community, innovation","Worked directly with Clay Christensen (Harvard Business School) to productize his vision for collaborative business innovation, later reformulated into dx.MBA innovation platform.",Professor Clay Christensen of Harvard Business School had a vision for a community of innovation researchers at the Institute.,"To propagate disruptive innovation concepts, and accessible community had to emerge. To do this, the institute needed to foster collaboration on both theory and practical applications across academics and practitioners.",The system had to preserve the integrity of foundational theories while ensuring accessibility to diverse audiences.,"Launched a community system: DisruptiveInnovation.org, promoting innovation research, collaboration, and application of disruptive principles. Principles from this effort were later integrated into dx.MBA. ",
,,,,,,,,,,,,,,,
peoplefluent,peoplefluent-mobile-apps-for-talent-management,Mobile Apps for Talent Management,Peoplefluent 	,Product Lead,https://peoplefluent.com/,EB4C36,FFFFFF,272058,"management, native apps, web app, business processes, api integration, architecture",Built a suite of talent management apps for iPad for augmenting clients HRM SaaS offering.,Peoplefluent needed to enhance its HRM SaaS offering with mobile solutions to meet modern workforce demands.,Peoplefluent competitors such as Workday had working applications on the iPad.,"Not all services need to be manageable on all devices. Some HR tasks are too complex, and may not be practical applications for a tablet implementation.",Peoplefluent launched a series of iPad apps to keep its HRM offerings competitive.,
appstore,iphone-ipad-appstore-100-ios-apps,100+ Apps / 7 Million Downloads,iPhone / iPad AppStore 	,Product Lead,https://appstore.com/,3568E6,FCFEFF,,"consumer, native apps, architecture","Led conception, design, development, and release of more than 100 Apps.",The AppStore required a diverse set of high-quality apps to meet the growing demands of iOS users and maintain its competitive edge.,The early years of AppStore required emergent strategies and much learning from what worked and what didn’t.,Apple was lending its brand and marketing prowess to allow individual developers to access millions of consumers without depending on B2B business models.,"Successfully launched 100+ consumer apps, resulting in multiple trips to Top Apps, and millions of downloads.",
,,,,,,,,,,,,,,,
fidelity-pm,fidelity-investments-portfolio-management-ui-framework,Portfolio Management UI Framework,Fidelity Investments	,System Architect,https://institutional.fidelity.com/advisors/investment-solutions/model-portfolios,3A8149,,,"financial, native apps, architecture",Developed SDK for a component framework to be used by 100 internal developers.,Fidelity needed a uniform SDK /framework to streamline development of Portfolio Management analytic applications.,Enhancing developer productivity and ensuring consistency in application development.,The system design need to balance the system goals with the compliance needs of financial institutions.,Enabled streamlined development and improved collaboration among internal developers at Fidelity Investment.,
cme,chicago-mercantile-exchange-interactive-trade-clearing-platform,Interactive Trade Clearing Platform,Chicago Mercantile Exchange 	,System Architect,https://www.cmegroup.com/trading/market-tech-and-data-services/cme-chat.html?redirect=/trading/cme-direct/cme-pivot.html,52A7DA,EBEDEE,1A2B49,"financial, web apps, api, architecture",Developed trade clearing component for CME Future and Option Trades on Instant Messages.,CME’s Pivot trade messaging app required new means to clear trades that have been agreed upon by the counterparts.,"Instant messaging is a great way for counterparts to come to a deal. In order to clear a deal, however, it has to be well-specified.","Commodity trades may involve complex strategies (e.g., butterfly condor, box), these can be considered part of a ‘language’ and verified using a PEG parser.","Improved trade clearing efficiency and reduced settlement times, enhancing market reliability.",
#coniferpoint,conifer-point-computational-medicine-ux-payment-frameworks,UX & Payment Frameworks,Conifer Point Computational Medicine 	,System Architect,https://coniferpoint.com/,5B5BEC,,72EA4F,"healthcare, web apps, api, architecture, e-commerce",,ConiferPoint aimed to accelerate computational medicine discoveries by leveraging data-driven insights.,Advancing medical research and discovery processes to address critical healthcare challenges.,"Developed a platform integrating computational tools for medicine discovery, enabling collaboration and data sharing.",Facilitated advancements in computational medicine through an innovative discovery platform.,Addressed data privacy and compliance concerns in handling sensitive medical information.
#verizon-tips,verizon-labs-real-time-qos-monitoring-system,Real-Time QoS Monitoring System,Verizon Labs 	,System Architect,https://www.verizon.com/about/our-company/innovation-labs,060606,DEDEDE,D8383C,"telecomm, native apps, api, architecture",Designed and developed real-time system to monitor and visualize network quality of service for the entire Verizon management network. ,Verizon needed a real-time monitoring system to ensure optimal network quality of service (QoS).,Maintaining customer satisfaction and minimizing service disruptions through improved network reliability.,Designed a real-time QoS monitoring system with advanced visualization for network performance metrics.,Enhanced network reliability and customer satisfaction through proactive QoS monitoring.,Ensured scalability to handle large-scale network monitoring and seamless integration with existing systems.
